Forecast_Date,Actual_BTC_Price,ARIMA_CHAMPION,LSTM_NeuralNet,Prophet_Trend,SARIMA_Seasonal,ENSEMBLE_Average,ARIMA_Error_$,ARIMA_Error_%
2025-12-01,86321.5703125,117457.34532972421,121785.44,130847.63359375,134689.60378765935,126195.0050527834,31135.77501722421,36.069518782509356
2025-12-02,91350.203125,117457.34532972421,121980.76,130975.2009375,134664.89529019603,126269.54984248006,26107.14220472421,28.579183528470352
2025-12-03,93527.8046875,117457.34532972421,122174.01,131102.76828125,135273.86768687,126501.99727758605,23929.54064222421,25.585483078725996
2025-12-04,92141.625,117457.34532972421,122365.18,131230.335625,135139.94369653735,126548.20108469039,25315.72032972421,27.474792559523674
2025-12-05,89387.7578125,117457.34532972421,122554.32,131357.90296875,135443.27482362182,126703.210858649,28069.58751722421,31.402049010003193
2025-12-06,89272.375,117457.34532972421,122741.4,131485.4703125,135460.7481648914,126786.24056115391,28184.97032972421,31.571883608702255
2025-12-07,90405.640625,117457.34532972421,122926.414,131613.03765625,135570.7569897264,126891.88850955015,27051.70470472421,29.92258504857446
2025-12-08,90640.203125,117457.34532972421,123109.42,131740.605,135872.04932905835,127044.85538344565,26817.14220472421,29.586365961405946
2025-12-09,92691.7109375,117457.34532972421,123290.336,131868.17234375,135847.3744122797,127115.80700581346,24765.63439222421,26.71828380525108
2025-12-10,92020.9453125,117457.34532972421,123469.24,131995.7396875,136456.380382428,127344.67689678805,25436.40001722421,27.64196773989124
2025-12-11,92511.3359375,117457.34532972421,123646.1,132123.30703125,136322.48995841737,127387.3109704729,24946.00939222421,26.965354180029955
2025-12-12,90270.4140625,117457.34532972421,123820.94,132250.874375,136625.85464460007,127538.75296233107,27186.93126722421,30.11721121429769
2025-12-13,90298.7109375,117457.34532972421,123993.74,132378.44171875,136643.36153776056,127618.2226934337,27158.63439222421,30.0764364299973
2025-12-14,88175.1796875,117457.34532972421,124164.555,132506.0090625,136753.40390729104,127720.32824675381,29282.16564222421,33.20907963669888
2025-12-15,86419.78125,117457.34532972421,124333.34,132633.57640625,137054.72978412337,127869.74881752439,31037.56407972421,35.91488387356247
2025-12-16,87843.984375,117457.34532972421,124500.15,132761.14375,137030.0883976481,127937.18147871808,29613.36095472421,33.71131348995599
2025-12-17,86143.7578125,117457.34532972421,124664.95,132888.71109375,137639.12789090606,128162.53435984507,31313.58751722421,36.350384882652996
2025-12-18,85462.5078125,117457.34532972421,124827.79,133016.2784375,137505.27098282435,128201.67095313715,31994.83751722421,37.4372790316651
2025-12-19,88103.3828125,117457.34532972421,124988.64,133143.84578125,137808.669177742,128349.62522842907,29353.96251722421,33.31763387530167
2025-12-20,88344.0,117457.34532972421,125147.54,133271.413125,137826.209572448,128425.62677241804,29113.34532972421,32.95452473255027
2025-12-21,88621.75,117457.34532972421,125304.47,133398.98046875,137936.2854363382,128524.2699962031,28835.59532972421,32.537831096456806
2025-12-22,88490.015625,117457.34532972421,125459.47,133526.5478125,138237.64480034573,128670.25167314248,28967.32970472421,32.73513910030368
2025-12-23,87414.0,117457.34532972421,125612.52,133654.11515625,138213.03689386204,128734.25520433407,30043.34532972421,34.36903165365297
2025-12-24,87611.9609375,117457.34532972421,125763.67,133781.6825,138822.1098599298,128956.2023911635,29845.38439222421,34.06542220133059
2025-12-25,87234.7421875,117457.34532972421,125912.9,133909.24984375,138688.28641747998,128991.94500711354,30222.60314222421,34.64514525332643
2025-12-26,87301.4296875,117457.34532972421,126060.23,134036.8171875,138991.71807085015,129136.5267876436,30155.91564222421,34.54229300730684
2025-12-27,87802.15625,117457.34532972421,126205.664,134164.38453125,139009.29191683148,129209.17146007642,29655.18907972421,33.775012307541374
2025-12-28,87835.8359375,117457.34532972421,126349.234,134291.951875,139119.40122482178,129304.48320113649,29621.50939222421,33.72371774693592
2025-12-29,87138.140625,117457.34532972421,126490.945,134419.51921875,139420.7940257556,129447.15097168245,30319.20470472421,34.79441320099227
2025-12-30,88430.1328125,117457.34532972421,126630.78,134547.0865625,139396.21954902587,129507.85817281251,29027.21251722421,32.82502422423262
2025-12-31,87508.828125,117457.34532972421,126768.83,134674.65390625,140005.32593767685,129726.53832466278,29948.51720472421,34.22342390637997
